Airport_Type,Airport_Name,Country,Airport_Code,Longitude,Latitude,Country_Name
small_airport,Brampton Island Airport,AU,BMP,149.2700043,-20.80330086,Australia
medium_airport,Proserpine Whitsunday Coast Airport,AU,PPP,148.552002,-20.49500084,Australia
seaplane_base,Telegraph Harbour Seaplane Base,CA,YBQ,-123.664,48.97,Canada
medium_airport,Rockhampton Airport,AU,ROK,150.4750061,-23.38190079,Australia
small_airport,Borroloola Airport,AU,BOX,136.302002,-16.07530022,Australia
medium_airport,Broome International Airport,AU,BME,122.2320023,-17.94470024,Australia
medium_airport,Balranald Airport,AU,BZD,143.5780029,-34.62360001,Australia
small_airport,Brunette Downs Airport,AU,BTD,135.9380035,-18.63999939,Australia
medium_airport,Brewarrina Airport,AU,BWQ,146.8170013,-29.97389984,Australia
small_airport,Barimunya Airport,AU,BYP,119.1660004,-22.6739006,Australia
medium_airport,Bathurst Airport,AU,BHS,149.6519928,-33.40940094,Australia
medium_airport,Bathurst Island Airport,AU,BRT,130.6199951,-11.76920033,Australia
medium_airport,Townsville Airport,AU,TSV,146.7649994,-19.25250053,Australia
medium_airport,Blackwater Airport,AU,BLT,148.8070068,-23.60309982,Australia
small_airport,Batavia Downs Airport,AU,BVW,142.6750031,-12.65919971,Australia
medium_airport,Bundaberg Airport,AU,BDB,152.3190002,-24.90390015,Australia
small_airport,Bunbury Airport,AU,BUY,115.677002,-33.37829971,Australia
small_airport,Bulimba Airport,AU,BIP,143.4790039,-16.88080025,Australia
small_airport,Bowen Airport,AU,ZBO,148.2149963,-20.0182991,Australia
medium_airport,Weipa Airport,AU,WEI,141.9250031,-12.67860031,Australia
small_airport,Bolwarra Airport,AU,BCK,144.1690063,-17.38829994,Australia
medium_airport,Toowoomba Wellcamp Airport,AU,WTB,151.793335,-27.558332,Australia
small_airport,Barrow Island Airport,AU,BWB,115.4059982,-20.86440086,Australia
small_airport,Beverley Springs Airport,AU,BVZ,125.4329987,-16.73329926,Australia
small_airport,Cattle Creek Airport,AU,CTR,131.548996,-17.60700035,Australia
small_airport,Caiguna Airport,AU,CGV,125.4929962,-32.26499939,Australia
small_airport,Coolah Airport,AU,CLH,149.6100006,-31.77330017,Australia
medium_airport,Carnarvon Airport,AU,CVQ,113.67174,-24.880211,Australia
small_airport,Casino Airport,AU,CSI,153.0670013,-28.88279915,Australia
medium_airport,Cobar Airport,AU,CAZ,145.7940063,-31.53829956,Australia
medium_airport,Coonabarabran Airport,AU,COJ,149.2669983,-31.33250046,Australia
small_airport,Canobie Airport,AU,CBY,140.927002,-19.47940063,Australia
small_airport,Cape Barren Island Airport,AU,CBI,148.0169983,-40.39170074,Australia
medium_airport,Coober Pedy Airport,AU,CPD,134.720993,-29.04000092,Australia
small_airport,Collarenebri Airport,AU,CRB,148.5820007,-29.52169991,Australia
medium_airport,Chinchilla Airport,AU,CCL,150.6170044,-26.77499962,Australia
small_airport,Coconut Island Airport,AU,CNC,143.0700073,-10.05000019,Australia
medium_airport,Cloncurry Airport,AU,CNJ,140.5039978,-20.66860008,Australia
small_airport,Condobolin Airport,AU,CBX,147.2089996,-33.06439972,Australia
small_airport,Caloundra Airport,AU,CUD,153.1000061,-26.79999924,Australia
medium_airport,Ceduna Airport,AU,CED,133.7100067,-32.13059998,Australia
medium_airport,Cleve Airport,AU,CVC,136.5050049,-33.70970154,Australia
seaplane_base,Cortes Bay Water Aerodrome,CA,YCF,-124.930002,50.0630001,Canada
small_airport,Camfield Airport,AU,CFI,131.3269958,-17.02169991,Australia
small_airport,Clifton Hills Airport,AU,CFH,138.8919983,-27.0182991,Australia
small_airport,Cape Flattery Airport,AU,CQP,145.311667,-14.970832,Australia
small_airport,Chillagoe Airport,AU,LLG,144.529007,-17.14279938,Australia
small_airport,Cherrabah Airport,AU,CRH,152.08895,-28.4301,Australia
small_airport,Graeme Rowley Aerodrome,AU,CKW,119.6426,-22.3543,Australia
small_airport,Charters Towers Airport,AU,CXT,146.272995,-20.04310036,Australia
medium_airport,RAAF Base Curtin,AU,DCN,123.8280029,-17.58139992,Australia
small_airport,Croker Island Airport,AU,CKI,132.4830017,-11.16499996,Australia
medium_airport,Cooktown Airport,AU,CTN,145.1840057,-15.44470024,Australia
medium_airport,Clermont Airport,AU,CMQ,147.6210022,-22.7730999,Australia
medium_airport,Cunnamulla Airport,AU,CMA,145.621994,-28.03000069,Australia
small_airport,Camooweal Airport,AU,CML,138.125,-19.9116993,Australia
small_airport,Camp Nifty Airport,AU,NIF,121.586998,-21.67169952,Australia
small_airport,Cessnock Airport,AU,CES,151.341995,-32.787498,Australia
medium_airport,Coonamble Airport,AU,CNB,148.3760071,-30.98329926,Australia
small_airport,Cordillo Downs Airport,AU,ODL,140.6380005,-26.74530029,Australia
medium_airport,Coen Airport,AU,CUQ,143.113311,-13.761133,Australia
small_airport,Collie Airport,AU,CIE,116.2170029,-33.36669922,Australia
medium_airport,Cooma Snowy Mountains Airport,AU,OOM,148.973999,-36.30059814,Australia
small_airport,Cooinda Airport,AU,CDA,132.5319977,-12.90330029,Australia
medium_airport,Corowa Airport,AU,CWW,146.3569946,-35.99470139,Australia
small_airport,Carpentaria Downs Airport,AU,CFP,144.3170013,-18.7166996,Australia
medium_airport,Corryong Airport,AU,CYG,147.8880005,-36.18280029,Australia
small_airport,Christmas Creek Station Airport,AU,CXQ,125.9338,-18.8728,Australia
small_airport,Croydon Airport,AU,CDQ,142.2579956,-18.22500038,Australia
small_airport,Collinsville Airport,AU,KCE,147.8600006,-20.59670067,Australia
medium_airport,Cootamundra Airport,AU,CMD,148.0279999,-34.62390137,Australia
small_airport,Cudal Airport,AU,CUG,148.7630005,-33.27830124,Australia
small_airport,Cue Airport,AU,CUY,117.9179993,-27.44669914,Australia
small_airport,Coondewanna Airport,AU,CJF,118.8130035,-22.9666996,Australia
small_airport,Cowarie Airport,AU,CWR,138.3280029,-27.71170044,Australia
small_airport,Cowell Airport,AU,CCW,136.8919983,-33.66669846,Australia
medium_airport,Cowra Airport,AU,CWT,148.6490021,-33.84469986,Australia
small_airport,Coolawanyah Airport,AU,COY,117.755,-21.7946,Australia
small_airport,Dajarra Airport,AU,DJR,139.5330048,-21.70829964,Australia
small_airport,Dalby Airport,AU,DBY,151.2669983,-27.15530014,Australia
medium_airport,Dirranbandi Airport,AU,DRN,148.2169952,-28.5916996,Australia
small_airport,Dunbar Airport,AU,DNB,142.3999939,-16.04999924,Australia
medium_airport,Derby Airport,AU,DRB,123.6610031,-17.37000084,Australia
small_airport,Drumduff Airport,AU,DFP,143.0119934,-16.0529995,Australia
small_airport,Dalgaranga Gold Mine Airport,AU,DGD,117.3163889,-27.83027778,Australia
small_airport,Doongan Airport,AU,DNG,126.302235,-15.386429,Australia
small_airport,Dixie Airport,AU,DXD,143.3160496,-15.11749443,Australia
small_airport,Dunk Island Airport,AU,DKI,146.1399994,-17.94169998,Australia
small_airport,Dulkaninna Airport,AU,DLK,138.4810028,-29.01329994,Australia
medium_airport,Deniliquin Airport,AU,DNQ,144.9459991,-35.55939865,Australia
small_airport,Delta Downs Airport,AU,DDN,141.3170013,-16.99169922,Australia
small_airport,Delissaville Airport,AU,DLV,130.6849976,-12.55000019,Australia
small_airport,Daly Waters Airport,AU,DYW,133.383379,-16.26469507,Australia
small_airport,Doomadgee Airport,AU,DMD,138.822006,-17.9403,Australia
small_airport,Daly River Airport,AU,DVR,130.6938782,-13.7498064,Australia
small_airport,Darnley Island Airport,AU,NLF,143.7669983,-9.583330154,Australia
small_airport,Dorunda Airport,AU,DRD,141.8238,-16.5537,Australia
small_airport,Davenport Downs Airport,AU,DVP,141.1080017,-24.14999962,Australia
medium_airport,Devonport Airport,AU,DPO,146.4299927,-41.16970062,Australia
small_airport,Dongara Airport,AU,DOX,114.927334,-29.298128,Australia
small_airport,Drysdale River Airport,AU,DRY,126.3810968,-15.7135704,Australia
small_airport,Durham Downs Airport,AU,DHD,141.8999939,-27.07500076,Australia
small_airport,Durrie Airport,AU,DRR,140.2279968,-25.68499947,Australia
small_airport,Dunwich Airport,AU,SRR,153.4279938,-27.51670074,Australia
small_airport,Docker River Airport,AU,DKV,129.0700073,-24.86000061,Australia
medium_airport,Dysart Airport,AU,DYA,148.3639984,-22.62220001,Australia
small_airport,Wadi Ain Airport,YE,WDA,45.54999924,14.86699963,Yemen
medium_airport,Echuca Airport,AU,ECH,144.7619934,-36.15719986,Australia
small_airport,Eucla Airport,AU,EUC,128.8829956,-31.70000076,Australia
small_airport,Etadunna Airport,AU,ETD,138.5890045,-28.74080086,Australia
small_airport,Eneabba Airport,AU,ENB,115.2460022,-29.83250046,Australia
small_airport,Einasleigh Airport,AU,EIH,144.0939941,-18.50329971,Australia
medium_airport,Elcho Island Airport,AU,ELC,135.5709991,-12.01939964,Australia
small_airport,Elkedra Airport,AU,EKD,135.4440002,-21.17250061,Australia
medium_airport,Emerald Airport,AU,EMD,148.1790009,-23.56749916,Australia
small_airport,Yenkis(Yankisa) Airport,PG,YEQ,143.9176667,-5.109722222,Papua New Guinea
small_airport,Erldunda Airport,AU,EDD,133.2539978,-25.2057991,Australia
small_airport,Ernabella Airport,AU,ERB,132.1820068,-26.26329994,Australia
small_airport,Elrose Airport,AU,ERQ,141.0066,-20.9764,Australia
medium_airport,Esperance Airport,AU,EPR,121.822998,-33.684399,Australia
small_airport,Eva Downs Airport,AU,EVD,134.8630066,-18.00099945,Australia
small_airport,Evans Head Aerodrome,AU,EVH,153.4199982,-29.09329987,Australia
small_airport,Exmouth Airport,AU,EXM,114.0999985,-22.0333004,Australia
medium_airport,Forbes Airport,AU,FRB,147.934998,-33.363602,Australia
small_airport,Fortescue - Dave Forrest Aerodrome,AU,KFE,119.437143,-22.290754,Australia
small_airport,Finley Airport,AU,FLY,145.5500031,-35.66669846,Australia
small_airport,Flinders Island Airport,AU,FLS,147.9929962,-40.09170151,Australia
small_airport,Flora Valley Airport,AU,FVL,128.4170074,-18.2833004,Australia
small_airport,Finke Airport,AU,FIK,134.5829926,-25.59469986,Australia
medium_airport,Forrest Airport,AU,FOS,128.1150055,-30.83810043,Australia
small_airport,Oombulgurri Airport,AU,FVR,127.8401,-15.1647,Australia
small_airport,Forster (Wallis Is) Airport,AU,FOT,152.4790039,-32.20420074,Australia
medium_airport,Fitzroy Crossing Airport,AU,FIZ,125.5589981,-18.18190002,Australia
small_airport,Gamboola Airport,AU,GBP,143.6670074,-16.54999924,Australia
small_airport,Gayndah Airport,AU,GAH,151.6190033,-25.61440086,Australia
small_airport,South Goulburn Is Airport,AU,GBL,133.3820038,-11.64999962,Australia
medium_airport,Gunnedah Airport,AU,GUH,150.2510071,-30.96109962,Australia
small_airport,Goondiwindi Airport,AU,GOO,150.3200073,-28.52140045,Australia
small_airport,Gordon Downs Airport,AU,GDD,128.5919952,-18.67810059,Australia
small_airport,Gregory Downs Airport,AU,GGD,139.2330017,-18.625,Australia
small_airport,Granite Downs Airport,AU,GTS,133.6069946,-26.94829941,Australia
seaplane_base,Gorge Harbour Seaplane Base,CA,YGE,-125.0235,50.0994,Canada
medium_airport,Geraldton Airport,AU,GET,114.707001,-28.796101,Australia
